EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010564885,VALDEZ JUNIOR RIFLE CLUB,% DEBBIE LARCOM,PO BOX 3008,VALDEZ,AK,99686-3008,0000,03,3,1200,200305,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,N99,
010604986,ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES,% JON WATKINS,4020 FOLKER ST,ANCHORAGE,AK,99508-5321,6046,03,9,1000,201408,1,15,000000000,1,01,201706,0,0,02,0,06,0,0,0,L20,PEER PROPERTIES
010639455,PAVVA INUPIAQ DANCERS,% CHARLES SEAN TOPKOK,4783 DRAKE ST,FAIRBANKS,AK,99709-3009,0000,03,3,2000,200502,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A84,
010704433,ALASKA MOBILITY COALITION,% PATRICK REINHART,3750 ARCTIC BLVD BOX 1777,ANCHORAGE,AK,99503-0000,0000,03,3,1000,200209,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,W01,
010718551,CHURCH OF CHRIST AT WASILLA INC,% EDDIE MAXWELL,2630 N JASPER DR,WASILLA,AK,99654-3400,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010828753,LADY WOLVERINES SOCCER BOOSTER CLUB,% LEEANNE OSGOOD,13021 MONTEGO CIR,ANCHORAGE,AK,99516-2763,0000,03,3,1000,200509,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,B112,
010829469,MIR PARENTS,% MIR,3500 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-1109,0000,03,3,1000,200510,1,15,000000000,0,01,202006,0,0,02,0,06,0,0,0,A23,
010856925,UNITED STATES BOWLING CONGRESS INC,% MARGUERITE DOWLING,3250 E PALMER WASILLA HWY,WASILLA,AK,99654-7216,4348,03,9,1000,200409,1,16,000000000,1,01,202007,0,0,02,0,07,0,0,0,N70,82323 MAT-SU VALLEY USBC
010867530,MAT-SU MARTIN LUTHER KING JR FOUNDATION INC,% KIM MARIE WALKER,PO BOX 875754,WASILLA,AK,99687-5754,0000,03,3,1200,200701,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B82,
010873044,STRUCTURAL ENGINEERS ASSOCIATION OF ALASKA,% SCOTT GRUHN,PO BOX 243342,ANCHORAGE,AK,99524-3342,0000,06,3,2000,201706,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,S41,
010896224,AMERICAN LEGION AUXILIARY,% AUDREY SAYLOR,1467 MULDOON RD,ANCHORAGE,AK,99504-2801,0964,19,9,1000,194610,2,00,319907000,5,01,201904,0,0,02,0,04,0,0,0,,29 MULDOON
010897800,CROSSCOUNTRY CHURCH,% MICHAEL BALOS,5131 N GOLD MINT DR,WASILLA,AK,99654-8902,1610,03,9,7000,196312,1,10,001002000,5,01,,0,0,06,0,12,,,,,
010898666,ALASKA WRITERS GUILD,% JAMES MISKO,PO BOX 670014,CHUGIAK,AK,99567-0014,0000,03,3,1000,201010,1,03,000000000,1,01,201912,2,3,00,1,12,11875,28531,,B99,
010918184,BORE TIDE SWIM CLUB INC,% BRADLEY HARRIS,200 W 34TH AVE PMB 593,ANCHORAGE,AK,99503-3969,0000,03,3,1000,200906,1,16,000000000,1,01,202012,0,0,02,0,12,0,0,0,N60,
010930462,MAT-SU COMMUNITY CHORUS,% NAN POTTS,PO BOX 1152,PALMER,AK,99645-1152,0000,03,3,1200,201008,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,A6B,
010932512,RENEW YOUR MIND,,123 E FIREWEED ST,ANCHORAGE,AK,99503-2076,0000,03,3,1000,201503,1,15,000000000,1,01,201912,1,3,01,0,12,9847,90075,90075,F22,NATHANIEL REDDICK OFFICER
010951115,ALASKA LONGLINE FISHERMENS ASSOCIATION,% LINDA E BEHNKEN,PO BOX 1229,SITKA,AK,99835-1229,0000,06,3,1000,201004,2,00,000000000,1,01,201912,4,5,01,0,12,259973,883141,826807,S41,
010968080,ST CATHERINE OF SIENA CUF CHAPTER INC,% JON AGOSTI,1751 WESTVIEW CIR,ANCHORAGE,AK,99504-2933,0000,03,3,1000,201102,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,ST CATHERINE OF SIENA CUF CHAPTER
010970450,SMITH MEMORIAL FOUNDATION,% RONALD E SMITH,8000 KING ST,ANCHORAGE,AK,99518-3060,0000,03,3,1000,201109,1,16,000000000,1,01,201912,4,3,01,0,12,343179,79792,79792,T12,
020039074,SITKA CHURCH OF THE NAZARENE,,305 LAKE ST,SITKA,AK,99835-7564,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
020670147,JESUS IS LORD,% JOE TAVAI,1023 ERMINE ST,ANCHORAGE,AK,99504-1837,2358,03,9,7000,197210,1,10,001000000,5,01,,0,0,06,0,08,,,,,13210
020679834,ALASKA STATE FARRIERS ASSOCIATION INC,% HEIDI S LARRABEE,PO BOX 4691,PALMER,AK,99645-4691,0000,03,3,2000,201408,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,B99,
020713689,SALMON CREEK HOUSING INC,% PATRICK MURPHY,3406 GLACIER HIGHWAY,JUNEAU,AK,99801-7251,0000,03,3,1000,200406,1,15,000000000,1,01,202006,5,3,01,0,06,722720,57805,57805,P73,
020726210,GRAND IGLOO FOUNDATION INC,% JUDY EVERARD,7248 HENNINGS WAY,ANCHORAGE,AK,99504-4615,0000,03,3,2000,200412,1,15,000000000,1,01,202007,4,2,02,0,07,254659,14101,14101,A80,
