EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010520599,BLUE KNIGHTS MOTORCYCLE CLUB,% DOUGLAS LAMPLUGH,319 N INGLESIDE ST,FAIRHOPE,AL,36532-2923,0000,10,3,1000,201402,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,Y42,AL II
010550415,NEW HOPE OUTREACH MINISTRIES,% HILDA HENDERSON,1000 HENDERSON RD NW,HUNTSVILLE,AL,35816-3512,0000,03,3,7000,200608,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010550656,HEALTH AND WELLNESS EDUCATIONAL CENTER,,PO BOX 1247,LIVINGSTON,AL,35470-1247,0000,03,3,1000,201902,1,15,000000000,5,01,201012,1,4,02,0,12,4000,142000,142000,E60,
010552873,MARK HOWARD CEMETERY,% THOMAS HOWARD,306 POPLAR ST,PRATTVILLE,AL,36066-5353,0000,13,3,1000,200206,1,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,Y50,
010553690,THURBER FAMILY FOUNDATION INC,% ELEANOR B THURBER,2414 COVEMONT DR SE,HUNTSVILLE,AL,35801-2259,0000,03,3,1000,200210,1,04,000000000,1,01,201912,6,4,00,1,12,1251744,216214,,T22,
010553749,TARRANT EDUCATION FOUNDATION,% EVA HOBSON,PO BOX 170745,BIRMINGHAM,AL,35217-0745,0000,03,3,1000,200204,1,15,000000000,1,01,201912,1,1,02,0,12,2969,2114,2114,B112,
010553804,HARRIS BARRETT SCHOOL INC,% C/O MEMPHIS BOSTON,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,0000,03,3,2000,200605,1,15,000000000,1,01,201809,0,0,02,0,09,0,0,0,A80,
010554023,FAIRHOPE CAT COALITION INC,% GLENDA B TURNER,104 ASHTON CT,FAIRHOPE,AL,36532-3334,0000,03,3,1000,200204,1,16,000000000,1,01,201912,3,4,01,0,12,98501,105910,103401,D20,
010554678,RESTORING HOPE MINISTRIES,% LAWRENCE JACKSON,1424 ROLLING RIDGE CIR,PLEASANT GRV,AL,35127-3530,0000,03,3,1700,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010563151,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% ZACKIE CARPENTER WOODROW JR,240 COUNTY ROAD 1285,VINEMONT,AL,35179-6296,1495,19,9,1000,196008,1,00,908907000,5,01,201912,0,0,02,0,12,0,0,0,,2212 CHAPTER
010569248,GREG CROWE MINISTRIES INC,,14042 PHARES HINTON RD,TUSCALOOSA,AL,35405-9587,0000,03,3,7000,200207,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,X21,
010573502,COMMUNITY EMPOWERMENT DEVELOPMENT INC,% EFFELL WILLIAMS,850 WOODROW AVE,SELMA,AL,36701-4745,0000,03,3,1200,200209,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O50,
010602039,ALABAMA COUNCIL OF ASSOCIATION WORKERS COMPENSATION SELF INSURERS,% RUSSELL DAVIS,PO BOX 241305,MONTGOMERY,AL,36124-1305,0000,06,3,1000,200406,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,Y99,
010603338,LIVING WATERS TABERNACLE,% WILLIAMS RICKY,220 BARTON ST,ANDALUSIA,AL,36420-2610,0000,03,3,7000,200310,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
010603764,GLORIOUS CHANGES CHURCH,% EARL WOOD,PO BOX 83,PHENIX CITY,AL,36868-0083,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010606750,ALABAMA COMMUNITIES OF EXCELLENCE,% SIDNEY HOOVER,1854 LAKE RIDGE RD,VESTAVIA HLS,AL,35216-1638,0000,03,3,1000,200302,1,15,000000000,1,01,201912,3,4,01,0,12,79357,122890,122890,S30,
010612977,E-MIN GLOBAL MINISTRIES INC,,PO BOX 220,WARRIOR,AL,35180-0220,0000,03,3,7000,200308,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,VAUGHN G RANDALL
010614980,HEALING WATERS MINISTRIES,% PAS GARY & MARGARE STALLINGS,2415 CARTERS GIN RD,TONEY,AL,35773-9730,3317,03,9,7000,199112,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010620454,J BRUCE & ROSE W BEVERIDGE FOUNDATION,% HAMILTON C SMITH,2410 HAND AVE,BAY MINETTE,AL,36507-4121,0000,03,3,1000,200401,1,04,000000000,2,01,201912,6,6,00,1,12,4167876,1400787,,T22,
010633374,NATIONAL SOCIETY OF BLACK ENGINEERS,% MARTIN BEEMAN,560 GEORGE TODD FRIVE,MONTGOMERY,AL,36121-0000,8275,03,9,1200,198801,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,,250997 MONTGOMERY PROFESSIONALS
010633818,UNITED CHRISTIAN OUTREACH GERMANY INC,% PAUL KIEFFER,3555 WOOLEY RD,MOBILE,AL,36693-5255,0000,03,3,1700,200209,1,15,000000000,1,01,201812,2,2,02,0,12,20584,22125,22125,X20,
010641226,PAUL OUTREACH SERVICES INC,% STEPHANIE ANN PAUL,PO BOX 82,MONTGOMERY,AL,36101-0082,0000,03,3,1000,200211,1,16,000000000,1,01,201812,6,6,01,0,12,1680830,2024216,1878874,P20,
010649656,JOE BEASLEY MEMORIAL FOUNDATION INC,% SARAH BEASLEY SMITH,431 WOODLAND RD,BESSEMER,AL,35020-6052,0000,03,3,1000,200206,1,15,000000000,1,01,201912,4,1,02,0,12,253631,6944,6944,A68,
010651075,KINGDOM RESOURCE AND DEVELOPMENT INC,% KINGDOM RESOURCE AND DEVELOPMENT,PO BOX 782,BREWTON,AL,36427-0782,0000,03,3,1000,200306,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,J20,
010651449,SERENE LIGHT INC,% JUNE SAMUEL,1216 BIBB ST,TUSKEGEE INST,AL,36088-2354,0000,03,3,1000,200209,1,15,000000000,1,01,201912,1,2,02,0,12,3120,10600,10600,E70,
010665015,SPECIAL NEEDS FOUNDATION OF BLOUNT COUNTY,% JANICE BAKER,5 GRANDVIEW DR,ONEONTA,AL,35121-1951,0000,03,3,1000,200407,1,15,000000000,1,01,201909,0,0,02,0,09,0,0,0,F11,
010667832,HEALING THE NATIONS,% MICHAEL INGLE,51 GLENDA CIR,SUMITON,AL,35148-3634,0000,03,3,7000,200410,1,10,000000000,1,01,,1,3,06,0,12,,,,X21,
010671566,LITTLE ROCK CHURCH OF ASSEMBLIES OF THE LORD JESUS CHRIST,% MYRTLE STEWARD,9420 ROBINSONVILLE RD,ATMORE,AL,36502-0000,8067,03,9,1000,196007,1,10,001000000,1,01,,0,0,06,0,03,,,,,
010675321,NEW BEGINNINGS MINISTRIES,% OCIE BATTLE JR,1141 ONTARIO ST,BRIGHTON,AL,35020-2300,0000,03,3,1700,201909,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,S21,
010680401,HOPE HEALTH CENTER INC,% KARL POYTHRESS TREAS,4614 CARNEGIE AVE,FAIRFIELD,AL,35064-1430,0000,03,3,1000,200210,1,15,000000000,1,01,202006,5,5,01,0,06,885621,637621,636550,E30,
010704661,SAFE HARBOR OUTREACH CENTER INC,% GREG D MELVIN,PO BOX 681904,PRATTVILLE,AL,36068-1904,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
