EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010359130,ETERNITY BAPTIST CHURCH,,RR 3 BOX 289,MALVERY,AR,72104-9535,0000,03,3,0000,197903,1,10,001000000,5,01,,0,0,06,0,06,,,,,
010556416,NURSING HOME GIFT FUND OF FAULKNER COUNTY INC,% BEVERLEY BERGSTROM,806 FAULKNER ST,CONWAY,AR,72034-5225,0000,03,3,1000,200208,1,16,000000000,1,01,201812,0,0,02,0,12,0,0,0,P58,
010570543,EAST ARKANSAS ENTERPRISE COMMUNITY,,PO BOX 2212,FORREST CITY,AR,72336-2212,0000,03,3,1000,200303,1,15,000000000,1,01,201912,4,4,01,0,12,429018,416987,416987,S20,
010571689,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,% ROCKY LEE LAMBERT,2100 FORT SMITH BLVD,FORT CHAFFEE,AR,72916-0000,0160,05,9,3000,195903,2,00,263000000,5,01,202003,0,0,02,0,03,0,0,0,Y99,S0024 WESTERN ARKANSAS STATE
010574268,PLEASANT VALLY MENNONITE SCHOOL,% CHRIS GEARIG,3655 HIGHWAY 360,BRADLEY,AR,71826-8889,1971,03,9,7000,196908,1,10,059150001,5,01,,0,0,06,0,01,,,,,
010580490,FRATERNAL ORDER OF POLICE,% CHARLES CARTY,PO BOX 2122,BENTON,AR,72018-2122,1199,08,9,1000,195210,1,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,,63 BENTON MUNICIPAL FOP
010596732,POLK COUNTY GENEALOGICAL SOCIETY,% JANET WALKER,PO BOX 1525,MENA,AR,71953-1525,0000,03,3,2000,201510,1,16,000000000,5,01,202012,0,0,02,0,12,0,0,0,A05,
010598786,COLMINISTRIES INC,% LOLA C HAMPTON,212 BERKSHIRE CIR,JACKSONVILLE,AR,72076-3305,0000,03,3,7000,201408,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010608788,SOCIETY OF PROFESSIONAL JOURNALISTS,% DAVID CONRADS,410 NW 5TH ST,BENTONVILLE,AR,72712-4708,0423,06,9,2000,194105,2,00,000000000,5,01,202007,0,0,02,0,07,0,0,0,,NORTHWEST ARKANSAS PROFESSIONAL CH
010620873,PENTECOSTAL CHURCH OF GOD,% MARLIN J RESINGER,HWY 8E,HUMPHREY,AR,72073-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010631060,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,% DEBBIE MCMAHON,PO BOX 2684,LITTLE ROCK,AR,72203-2684,5278,03,9,1000,200510,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,Q43,ARKANSAS
010634033,SELMA VOLUNTEER FIRE DEPT,% KENNY WATSON,323 HIGHWAY 293,TILLAR,AR,71670-9405,0000,03,3,1000,200207,1,15,000000000,1,01,201812,4,3,01,0,12,243244,51642,51642,M24,
010648135,PINNACLE SCHOLARSHIP FOUNDATION,% H THOMAS GIBBONS,3 S CLUBHOUSE DR,ROGERS,AR,72758-9563,0000,03,3,1000,200303,1,04,000000000,1,01,201912,1,1,00,1,12,260,1,,B82,
010648891,COMMUNITY RESOURCES TECHNICIANS INC,% DEBORAH K COOPER,PO BOX 3616,LITTLE ROCK,AR,72203-3616,0000,03,3,1000,200207,1,16,000000000,1,01,201912,3,3,02,0,12,57328,47276,47276,P51,
