EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010282855,B M CLARK FOUNDATION,,38 BOSTON RD,MIDDLETOWN,CT,06457-3556,0000,03,3,1000,197009,1,04,040000000,1,01,201912,3,3,00,1,12,76144,74467,,,
010366432,WESTERN CONNECTICUT CHAPTER NATIONAL RAILWAY HISTORICAL SOCIET,% KEVIN FEENEY TREASURER,77 WASHINGTON ST,NORWALK,CT,06854-3086,0000,03,3,2000,198003,1,16,119299000,1,01,201903,3,2,02,0,03,71945,17989,11554,,
010371179,GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST,% NORMAN HANSON & DETROY LLC,PEOPLES UNITED BANK 850 MAIN ST RC,BRIDGEPORT,CT,06604-0000,0000,03,3,1000,000000,1,04,000000000,5,01,202008,4,4,00,1,08,224205,104006,,,KATHRYN M LONGLEY-LEAHY
010441043,COURI FOUNDATION INC,,164 RAMAPOO RD,RIDGEFIELD,CT,06877-3732,0000,03,3,1000,198907,1,03,000000000,1,01,201912,3,3,00,1,12,31145,38192,,,
010441453,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,% KATHY STEIMACK,1025 RIVER BLVD,SUFFIELD,CT,06078-1415,0735,05,9,3000,194411,2,00,263000000,5,01,202012,0,0,02,0,12,0,0,0,,222-38 UE LOCAL
010462738,U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,% S & A INC,10 TECHNOLOGY DR,WALLINGFORD,CT,06492-1955,0000,03,3,2000,201006,1,11,000000000,2,01,201912,6,4,01,0,12,1080624,465655,414008,B30,LOCAL 716 TRAINING FUND
010483460,KAPPA DELTA PHI NATIONAL AFFILIATED SORORITY ALUMNAE ASSOCIATION INC,% SUE DYER TAYLOR,33 WOODLAND DR,NORWICH,CT,06360-7319,0000,07,3,1000,199407,2,00,036000000,1,01,201912,0,0,02,0,12,0,0,0,,
010490877,NATIONAL ATHLETIC TRAINERS ASSOCIATION INC,% JULIE ALEXANDER,PO BOX 693,STORRS MANFLD,CT,06268-0693,7225,06,9,2000,199510,2,00,205000000,5,01,201906,4,4,01,0,06,295952,143353,143353,,I DISTRICT
010502709,ATLANTIC STATES RURAL WATER & WASTEWATER ASSOCIATION,% STEVEN C LEVY,11 HIGH ST STE 204,SUFFIELD,CT,06078-2125,0000,06,3,1000,199607,2,00,353351123,1,01,201906,4,5,01,0,06,173471,532269,532269,,
010535353,EASTERN FRONTIER EDUCATIONAL,% STEPHEN DUNN,C/O S DUNN 481 OLD LONG RIDGE ROAD,STAMFORD,CT,06903-0000,0000,03,3,1200,200210,1,03,000000000,1,01,201905,4,3,00,1,05,483841,54599,,A90,
010538112,WATOTO CHARITABLE TR,% TREASURER PETER HARVEY,1364 ROCK RIMMON RD,STAMFORD,CT,06903-1104,0000,03,3,1000,200103,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,T30,
010563865,WEST HAVEN CHURCH OF CHRIST INC,% WILLIAM BOWLING SR,PO BOX 4416,HAMDEN,CT,06514-0416,0000,03,3,7000,200409,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010566395,BUILDERS BEYOND BORDERS,,66 FORT POINT STREET,NORWALK,CT,06855-1217,0000,03,3,1000,200302,1,16,000000000,1,01,202006,5,5,01,0,06,655168,975887,684691,P30,
010575025,TEMPLE OF PRAISE CHURCH OF CHRIST OF THE APOSTOLIC FAITH INCORPORATE,% DANIEL WADE,21 GRACE AVE,WATERBURY,CT,06710-1019,0000,03,3,2700,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010580184,COMMUNITY DANCE ENSEMBLE INC,% MARGARET E DENNIS,8 CHAPMAN AVE,QUAKER HILL,CT,06375-1309,0000,03,3,1000,200205,1,15,000000000,1,01,201906,0,0,02,0,06,0,0,0,A60,
