EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548657,KUEHNER BROTHERS FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200303,1,04,000000000,1,01,201912,6,3,00,1,12,1207924,43160,,T20,
010561836,KREATIVE MINDS INC,% BROCK DAVIS,1432 S HANCOCK AVE,DOVER,DE,19901-4058,0000,03,3,1000,201603,1,15,000000000,1,01,201712,1,0,02,0,12,1,0,0,A20,
010592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,% JOHN A JADACH,52 READS WAY,NEW CASTLE,DE,19720-1649,0000,03,3,2000,200401,1,15,000000000,1,01,202006,6,6,01,0,06,1649261,1456977,1456923,B90,C E R T S INC
010620485,STAR KIDS INC,% FRANCIS J NORRIS,124 HAINES ST,NEWARK,DE,19711-5329,0000,03,3,1000,200211,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,T70,
010652445,RODNEY STREET TENNIS ASSOCIATION,,101 GARDEN OF EDEN RD,WILMINGTON,DE,19803-1511,0000,03,3,2000,200401,1,16,000000000,1,01,201912,4,4,01,0,12,138140,469316,451870,N66,
010667483,COLUMBIETTES INCORPORATED,% ELLEN JAQUISH,358 MIMOSA AVE,DOVER,DE,19904-4839,3060,10,9,1000,197709,2,00,260000000,5,01,201912,0,0,02,0,12,0,0,0,,4182 DOVER
010668771,SERVIAM MEDIA INC,% SHARON BAKER,PO BOX 7769,WILMINGTON,DE,19803-0769,0000,03,3,1200,200208,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A31,
010702336,WOMEN IN TRANSITION INC,% CARLA D ROBINSON,193 MALCOLM FOREST RD,NEW CASTLE,DE,19720-8740,0000,03,3,1200,200406,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,I31,
010708223,PTA DELAWARE CONGRESS,% CHERYL DILL,750 E DELAWARE AVE,NEWARK,DE,19711-7185,2155,03,9,2000,197103,0,16,059035000,5,01,202006,0,0,02,0,06,0,0,0,,NEWARK HIGH SCHOOL PTSA
010760818,DELAWARE STORM TRAVEL TEAMS INC,% TREASURER,36617 ROXANA RD,SELBYVILLE,DE,19975-0000,0000,03,3,2000,200306,1,15,000000000,1,01,201812,2,4,01,0,12,20990,145477,122067,N63,
010770318,CORRECTIONAL OFFICERS ASSOCIATION OF DELAWARE,,1243 COLLEGE PARK DR,DOVER,DE,19904-8713,0000,05,3,3000,200512,2,00,000000000,1,01,202005,5,5,01,0,05,852319,500426,465188,J40,
010791880,ALVIN MARLEY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200403,1,04,000000000,1,01,201912,5,4,00,1,12,927049,243333,,T20,
010791882,KLUNGNESS FAMILY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200505,1,04,000000000,1,01,201912,6,6,00,1,12,2214638,2103360,,T20,
010841368,WILMINGTON TIGERS BASKETBALL CLUB OF DELAWARE INC,% MARK GRUBB,209 FALLON AVE,WILMINGTON,DE,19804-1918,0000,03,3,1200,200512,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,N62,
010850018,THE@GENE AND TAFFIN A RAY FAMILY FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200601,1,04,000000000,1,01,201906,4,4,00,1,06,288186,152264,,T20,
010851830,REGULATORY COMPLIANCE ASSOCIATION INC,,16 W MAIN ST,CHRISTIANA,DE,19702-1530,0000,06,3,2000,200806,2,00,000000000,1,01,201912,2,4,01,0,12,14513,268378,268378,S03,RCA
010852125,ORGANIZATION OF PJM STATES INC,% GREGORY CARMEAN EXECUTIVE DIRECTO,249 E MAIN STREET BLD 2 STE 1,NEWARK,DE,19711-7317,0000,04,3,3000,200612,2,00,000000000,1,01,201912,3,5,01,0,12,64387,665770,665770,U03,
010857925,SAUGUS PLAZA FUNDING COMPANY,% DANIEL SANG,500 STANTON CHRISTIANA RD OPS 3 2-P,NEWARK,DE,19713-2105,0000,02,3,1000,200706,2,00,000000000,1,01,201812,8,6,01,0,12,21357627,1269173,1269173,Z99,
010864622,MARYLAND FOOTBALL COACHES ASSOCIATION,% JOE RUSSO,31960 DOGWOOD WAY,SELBYVILLE,DE,19975-3794,0000,03,3,2000,201105,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,N65,
010881860,MAINSTREAM PROJECTS INC,% RHONDA SULLIVAN,PO BOX 1891,WILMINGTON,DE,19899-1891,0000,03,3,1000,201701,1,16,000000000,1,01,201812,0,0,02,0,12,0,0,0,S99,
010890134,MY SISTERS PLACE INC,% ALEDA M YOUNG,50 CURRANT DR,NEWARK,DE,19702-2852,0000,03,3,1000,200712,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,L20,
010904690,DELAWARE REBELS INC,% ROBERT ROBLES,7485 CEDAR CREEK RD,LINCOLN,DE,19960-2609,0000,03,3,1000,201610,1,16,000000000,1,01,201712,0,0,02,0,12,0,0,0,N60,
010914228,CONTRACTORS FOR A CAUSE FOUNDATION LLC,,PO BOX 1282,OCEAN VIEW,DE,19970-1282,0000,03,3,1000,200901,1,15,000000000,1,01,201812,4,4,01,0,12,145908,116796,93110,P80,
010933809,ARISING MINISTRIES,,PO BOX 658,BEAR,DE,19701-0658,0000,03,3,1700,201204,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X99,
010950485,SPEAK FOR THOSE WHO CANNOT PROGRAMS INC,% LYN-DIANNE BUDD,2010 MONROE PL,WILMINGTON,DE,19802-3924,0000,03,3,1000,201209,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P40,SPEAK
020537737,NEW CALVARY BAPTIST CHURCH,% EDWARD BENN SR,610 S HEALD ST,WILMINGTON,DE,19801-5636,0000,03,3,7000,200505,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020552325,PRIORITY COMMUNICATIONS MINISTRIES INC,% REV STEVE HARE,2207 CONCORD PIKE PMB 217,WILMINGTON,DE,19803-2908,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020552355,PRIORITY COMMUNICATIONS MINISTRIES INC,% STEVE HARE,179 STANTON CHRISTIANA RD,NEWARK,DE,19702-1619,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020557405,CLARENCE ST CHURCH OF GOD,% MARY E WALKER,PO BOX 817,SEAFORD,DE,19973-0817,2358,03,9,7000,197210,1,10,000000000,5,01,,0,0,06,0,08,,,,,
020568983,DELAWARE HEADSTART ASSOCIATION INC,% TELAMON CORP,100 W 10TH STREET,WILMINGTON,DE,19801-6603,0000,03,3,2000,200204,1,16,000000000,1,01,201909,4,3,01,0,09,120213,73999,73999,B80,
020656117,EDWARD E AND MARIE L MATTHEWS FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200301,1,04,000000000,1,01,201912,8,6,00,1,12,10368161,1662400,,,
020670035,AMERICAN ALLIANCE OF PARALEGALS INC,% PATRICIA S CARR,4023 KENNETT PIKE STE 146,WILMINGTON,DE,19807-2018,0000,06,3,2000,201206,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,S41,
020678004,J-BROOK PRODUCTIONS INC,% JENNIFER SEABROOK,14 GREENSPIRE LN,SMYRNA,DE,19977-3974,0000,03,3,1000,201407,1,16,000000000,1,01,202010,0,0,02,0,10,0,0,0,X20,
020680511,EMPOWERING WOMEN IN NEED OF GUIDANCE CORPORATION,% TOMACENA MCCALOP,PO BOX 236,BEAR,DE,19701-0236,0000,03,3,1000,200501,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
020691040,COLUMBIETTES INCORPORATED,% LINDA DARLING,206 PITCH KETTLE CT,MAGNOLIA,DE,19962-1592,3060,10,9,1000,197709,2,00,260000000,5,01,201912,0,0,02,0,12,0,0,0,,DELAWARE STATE COUNCIL COLUMBIETTES
020694092,J J SEGAL FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200306,1,04,000000000,1,01,201912,5,4,00,1,12,745723,211623,,T22,JUDY O SEGAL DIR
020709424,OBRZUT-LING FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200507,1,04,000000000,1,01,201912,6,4,00,1,12,1193598,495088,,T22,
020709426,FOSTER FAMILY PRIVATE FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200502,1,04,000000000,1,01,201912,6,5,00,1,12,2331988,520414,,T20,
020709431,THE SAM AND DEIDRE PATTERSON FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200411,1,04,000000000,1,01,201912,4,4,00,1,12,327420,151944,,T22,
020709433,VINCENT DOWLING FAMILY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200411,1,04,000000000,1,01,201912,8,6,00,1,12,23546164,3747721,,T22,
020748378,IKEBANA IWAYA FUND,% SUMAKO IWAYA SOLENBERGER,5 WOOD RD,WILMINGTON,DE,19806-2021,0000,03,3,1000,200606,1,15,000000000,1,01,201812,4,3,02,0,12,103266,45192,45192,S03,
020808154,K I S H HOME INC,% KISH HOMEINC,PO BOX 672,FELTON,DE,19943-0672,0000,03,3,1000,200911,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,L41,
020810339,THE FAB FOR LIFE FOUNDATION INC,% ROBERT W BENNETT,321 CARLTON DR,MILTON,DE,19968-1368,0000,03,3,1000,200708,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B82,
