EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548379,LIVING FOR CHRIST MINISTRIES,% PEGGY WEBSTER,PO BOX 29112,HONOLULU,HI,96820-1512,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010575126,FRIENDS OF NELHA,,73 4460 QUEEN KAAHUMANU HWY ROOM 10,KAILUAKONA,HI,96740-2632,0000,03,3,1000,200309,1,16,000000000,1,01,201912,2,4,01,0,12,14218,170933,170933,C30,
010602637,INTERNATIONAL PACKAGED CONCRETE MANUFACTURERS ASSOCIATION INC,% JEFF DEER,91-400 KOMOHANA,EWA BEACH,HI,96707-0000,0000,06,3,2000,200309,2,00,000000000,1,01,201709,0,0,02,0,09,0,0,0,S41,
010606686,HAWAII QUARTER HORSE ASSOCIATION,% LINDA HUNT,68-1752 PUWALU ST,WAIKOLOA,HI,96738-5517,0000,05,3,1000,200303,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,K26,
010629526,BEN AND MIRIAM LAU FOUNDATION,% RICHARD C WO,1314 S KING ST STE 524,HONOLULU,HI,96814-1940,0000,03,3,1000,200210,1,04,000000000,1,01,201912,6,5,00,1,12,3057099,991292,,T20,
010637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,% C/O CHRIS KAM,2270 KALAKAUA AVE STE 801,HONOLULU,HI,96815-2568,0000,06,3,2000,200805,2,00,000000000,1,01,201812,0,0,02,0,12,0,0,0,S41,HTTRA
010637863,MYRA W & JEAN KENT ANGUS FOUNDATION,% PACIFIC CENTURY TRUST,PO BOX 3170,HONOLULU,HI,96802-3170,0000,03,3,1000,200206,1,04,000000000,2,01,202003,6,4,00,1,03,2862841,434292,,T20,
010642459,KEALA O KALANI,% ALLAN PREVO,98-778 NAALII ST,AIEA,HI,96701-2743,0000,03,3,2000,200503,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P50,
010682872,PDMI-CARE INC,% TEHANI,84-1064 LAHAINA ST APT 4,WAIANAE,HI,96792-2267,0000,03,3,1000,200210,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P82,
010700725,AHA KUKUI O MOLOKAI,% ROBERT J M MORRIS JR,PO BOX 391,HOOLEHUA,HI,96729-0391,0000,03,3,1000,200402,1,15,000000000,1,01,201812,3,3,01,0,12,74022,70229,70229,A20,
010703365,HAWAII VENTURE CAPITAL ASSOCIATION,% WINDWARD CONNECTION,PO BOX 4677,HONOLULU,HI,96812-4677,0000,06,3,2000,200305,2,00,000000000,1,01,201904,3,3,01,0,04,36560,81860,81860,S30,
010717296,FREEDOM TO CHOOSE FELLOWSHIP,% MICHAEL S FLYNN,PO BOX 1213,KURTISTOWN,HI,96760-1213,0000,03,3,1000,200210,1,15,000000000,1,01,201912,1,0,02,0,12,126,0,0,X20,
010749071,EXTENSIVE READING FOUNDATION,% THOMAS ROBB PHD,570 MOORE HALL 1809 EAST WEST RD,HONOLULU,HI,96822-0000,0000,03,3,2000,201602,1,04,000000000,5,01,201812,3,3,00,1,12,40221,34648,,B92,UNIVERSITY OF HAWAII
010757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,% HAWAII BENEFIT ADMIN INC,200 N VINEYARD BLVD STE 100,HONOLULU,HI,96817-3938,0000,09,3,1000,200511,2,00,000000000,1,01,201912,7,8,01,0,12,8079293,20424090,17892318,Y43,LOO PAT ET AL TTEE
010799223,STARFIRE COMPANION-ANIMAL SANCTUARY,% TORUN ALMER,84-5142 KEALA O KEAWE RD,CAPTAIN COOK,HI,96704-8418,0000,03,3,4000,200408,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,D32,
010876003,MARINE CORPS LEAGUE,% LORA SCOTT,68-3575 W MAKUAHINE ST,WAIKOLOA,HI,96738-5330,0955,04,9,3000,194607,1,00,036279265,5,01,202006,0,0,02,0,06,0,0,0,,1255 CAMP TARAWA DETACHMENT MCL
010910349,MALAMA HAWAII,% MARK HUFF,1616 PAPAU PL,KAPAA,HI,96746-0000,0000,03,3,1200,200903,1,15,000000000,1,01,,0,0,00,0,12,,,,A34,
010915170,VOICE FOR LEARNING,% CT CORPORATION,4348 WAIALAE AVENUE SUITE 322,HONOLULU,HI,96816-5767,0000,04,3,3000,201003,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,B90,
010919143,REECE TOYAMA FOUNDATION,% PAMELA OSHIRO-TAYLOR,PO BOX 17888,HONOLULU,HI,96817-0888,0000,03,3,1000,200905,1,15,000000000,1,01,201812,4,4,01,0,12,154260,197891,128563,N20,
010927183,MIYAWAKI FOUNDATION,% EDISON H MIYAWAKI,2900 PALI HIGHWAY,HONOLULU,HI,96817-1479,0000,03,3,1200,200912,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B12,
010930714,ACTIVED,% FAYE SAIKI,1758A MIKAHALA WAY,HONOLULU,HI,96816-3390,0000,03,3,1000,201201,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P30,
010942381,ALII GROUP,% THE ALII GROUP,84-961 LAHAINA ST,WAIANAE,HI,96792-2238,0000,03,3,1000,201103,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
010943863,HAWAII WAIVER PROVIDERS ASSOCIATION,% STONE WOLFSONG,2610 KILIHAU ST,HONOLULU,HI,96819-2020,0000,06,3,1000,201103,2,00,000000000,1,01,202006,0,0,02,0,06,0,0,0,S40,
010945650,GARDEN ISLAND MOTORCYCLE CLUB INC,,3-1866 KAUMUALII HWY STE C,LIHUE,HI,96766-8606,0000,03,3,1000,201511,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,N50,
