EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010363873,NATIONAL RURAL HEALTH ASSOCIATION,,4501 COLLEGE BLVD STE 225,LEAWOOD,KS,66211-1921,0000,03,3,2000,197911,1,15,123531205,5,01,201912,6,7,01,0,12,1194883,5664526,5664526,,
010559251,KANZA HOUSE GENEALOGY HISTORY & RESOURCE LIBRARY ASSOCIATION,% JOYCE JONES,106 PINE ST,LEBANON,KS,66952-8808,0000,03,3,2000,200203,1,16,000000000,1,01,201806,0,0,02,0,06,0,0,0,A80,
010576305,ANNALS OF FAMILY MEDICINE INC,% STEPHANIE HANAWAY,11400 TOMAHAWK CREEK PARKWAY,LEAWOOD,KS,66211-2680,0000,03,3,1200,200307,1,17,000000000,1,01,201912,6,6,01,0,12,1041842,1319079,1319079,A33,
010599701,MELVERN COMMUNITY PRIDE INC,% CORINE YOCKEY,102 NE MAIN ST,MELVERN,KS,66510-9355,0000,03,3,1000,200405,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,N31,
010615880,CHILDRENS GARDEN INC,% JEAN PASSANTINO,4901 REINHARDT DRIVE,SHAWNEE MISSION,KS,66205-1544,0000,03,2,2000,200207,1,11,000000000,1,01,201906,4,4,01,0,06,216330,381095,380280,B21,
010645545,STRATEGIC FAMILY MINISTRIES ASSOCIATION,% CHRIST LUTHERAN CHURCH,11720 NIEMAN RD,OVERLAND PARK,KS,66210-4308,0000,03,3,7000,200308,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,X99,
010668362,AMERICAN SEWING GUILD INC,% JOY HOLLOWAY,112 E SAINT JOHN ST,GIRARD,KS,66743-1341,3534,03,9,2000,198603,1,15,281995000,5,01,,0,0,01,0,12,,,,A20,PITTSBURGH KANSAS CHAPTER
010668886,SERVANTS INTERNATIONAL INC,% STEVEN R SIZEMORE,1400 LAWRENCE AVE,LAWRENCE,KS,66049-2940,0000,03,3,7100,200208,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,
010674969,COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,% WYANDOTTE HEALTH FOUNDATION,803 ARMSTRONG AVE,KANSAS CITY,KS,66101-2604,0000,03,3,1200,200212,1,15,000000000,1,01,201909,6,6,01,0,09,1008498,1342520,1342520,E21,
010697205,KANSAS PODIATRIC MEDICAL ASSOCIATION,% WAYNE PROBASCO,1603 SW 37TH ST,TOPEKA,KS,66611-2645,0000,03,3,2800,201709,1,16,000000000,1,01,201905,0,0,02,0,05,0,0,0,B03,
010704842,HOUSE OF PRAYER EVANGELISTIC CHURCH,% BERNARD CRAWFORD JR,2648 N 18TH ST,KANSAS CITY,KS,66104-5405,0000,03,3,7120,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010735024,KANSAS CITY TAMIL SANGAM INC,% MANI RAMAN,11383 S CHOUTEAU ST,OLATHE,KS,66061-7136,0000,03,3,2000,200208,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,A20,
010756380,BANGS FAMILY FOUNDATION,% LAWRENCE BANGS,24632 W 96TH ST,LENEXA,KS,66227-7285,0000,03,3,1000,200403,1,04,000000000,1,01,202006,6,4,00,1,06,1458827,355195,,T20,
010760115,GEUDAFEST PLANNING COMMITTEE,% SHANNON WENDT,PO BOX 4,GEUDA SPRINGS,KS,67051-0004,0000,04,3,3000,200303,2,00,000000000,5,01,201712,0,0,02,0,12,0,0,0,N52,
010764975,CROSSROADS COMMUNITY CHURCH,% TIMOTHY L CUPP,25715 W 127TH ST,OLATHE,KS,66061-9233,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
