EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010356732,CARRIAGE MUSEUM OF AMERICA,,4075 IRON WORKS PKWY,LEXINGTON,KY,40511-8483,0000,03,3,1000,197808,1,15,149060000,1,01,201912,6,4,01,0,12,1432367,344998,343806,A540,AT THE KENTUCKY HORSE PARK
010551398,HIGHLANDS BAND ASSOCIATION INC,% STANLEY ROSS,PO BOX 75029,FORT THOMAS,KY,41075-0029,0000,03,3,1200,200203,1,16,000000000,1,01,201905,0,0,02,0,05,0,0,0,N60,
010554843,JEFFERSON COUNTY SEARCH DOG ASSOCIATION,% HOLLY HATFIELD,8004 SMYRNA PKWY,LOUISVILLE,KY,40228-1808,0000,03,3,1200,200204,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,P80,
010557144,AUGUSTA ART GUILD,% PRESIDENT,116 MAIN ST,AUGUSTA,KY,41002-1035,0000,03,3,1000,201407,1,16,000000000,1,01,202012,0,0,02,0,12,0,0,0,A40,
010557631,KENTUCKY ALPACA ASSOCIATION INC,%MARTHA SANDERS,680 RIVER HILL DR,RICHMOND,KY,40475-8417,0000,05,3,1000,200204,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,K26,KY CLASSIC ALPACA SHOW
010560598,CHILD DEVELOPMENT CENTER CORPORATION,% AUTUMN H MCFANN,2201 LEXINGTON AVE,ASHLAND,KY,41101-2843,0000,03,3,1000,201410,1,16,000000000,1,01,201909,6,5,01,0,09,1284367,634657,634657,P33,
010563104,FRIENDSHIP AND COMMUNITY EXPERIENCING SUCCESS INC,% DERRICK L MILES,2325 OSAGE AVE,LOUISVILLE,KY,40210-1113,0000,03,3,1200,201703,1,15,000000000,1,01,201906,2,0,02,0,06,11789,0,0,S31,
010582200,KENTUCKY PAINT HORSE CLUB,% TRACIE DUNN,PO BOX 1177,VERSAILLES,KY,40383-5177,0000,05,3,1000,201110,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,K26,
010597359,SPIRIT OF JOY LIFE MINISTRIES,% BELZORA SCOTT,5009 POPLAR LEVEL RD,LOUISVILLE,KY,40219-1117,0000,03,3,7000,200606,1,10,000000000,1,01,,0,0,06,0,10,,,,X20,
010600655,CHRIST CHURCH OF PRAYER AND DELIVERANCE,% CHARLES VAUGHN,624 S 38TH ST,LOUISVILLE,KY,40211-3029,0000,03,3,7000,200204,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010643904,ELOHIM CHRISTIAN CENTER,% REV JOSEPH ANDINO,1205 MARYLAND AVE,COVINGTON,KY,41011-3511,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010655880,ONE WITH CHRIST MINISTRIES INC,% WILLIAM L HANEY,PO BOX 316,WINCHESTER,KY,40392-0316,0000,03,3,7000,200210,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X21,
010665790,COUNCIL OF STATE ARCHIVISTS,% VICTORIA I WALCH,PO BOX 1583,FRANKFORT,KY,40602-1583,0000,03,3,1000,200303,1,15,000000000,1,01,201912,4,4,01,0,12,303103,334201,334201,A80,
010667641,AMERICAN SEWING GUILD INC,% LORETTA HALEY,686 SPRINGHURST DR,LEXINGTON,KY,40503-1716,3534,03,9,2000,000000,1,15,281995000,5,01,,0,0,02,0,12,,,,,LOUISVILLE CHAPTER
010689354,KARP HOUSING INC,% STEVE SHANNON,3459 BUCKHORN DR NO 201,LEXINGTON,KY,40515-1718,0000,03,3,1000,200302,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,L20,
010693937,PAULINE C YOUNG SCHOLARSHIP FOUNDATION INC,% GERRY CALVERT,115 W SHORT ST,LEXINGTON,KY,40507-1301,0000,03,3,1200,200311,1,04,000000000,1,01,201912,1,1,00,1,12,1,160,,B82,
010701145,KENTUCKY HEARTWOOD INC,% KENTUCKY HEARTWOOD,PO BOX 1486,BEREA,KY,40403-3486,0000,03,3,1000,200208,1,15,000000000,1,01,201812,3,3,01,0,12,79041,92635,92635,C300,
010702831,DEAF YOUTH SPORTS FESTIVAL INC,% TIMOTHY OWENS,PO BOX 17565,LOUISVILLE,KY,40217-0565,0000,03,3,2000,200302,1,15,000000000,1,01,201812,3,1,02,0,12,66495,9177,9177,P87,
010706736,AMERICAN EAGLE LIFECARE CORPORATION,,1050 CHINOE ROAD,LEXINGTON,KY,40502-6571,0000,03,3,1000,200211,1,16,000000000,1,01,201912,9,9,01,0,12,376545300,83318408,83318408,E91,
010728933,SLEDGEHAMMER MINISTRIES INC,% JOHN KILLIAN,107 MCCORMACK AVE,ELIZABETHTOWN,KY,42701-8535,1620,03,9,7000,196402,0,10,000000000,5,01,201912,0,0,02,0,12,0,0,0,,
010734062,AUTOMOBILE INDUSTRY TR,% STEPHANIE COOLEY,333 W VINE ST STE 500,LEXINGTON,KY,40507-1627,0000,09,3,1000,200311,2,00,000000000,2,01,201908,5,6,01,0,08,509525,2390171,2390171,Y43,
010745407,CARL H OLIVER SCUBA FOR CHARITY FOUNDATION,% SUSAN M OLIVER,6000 KY 81,OWENSBORO,KY,42301-0000,0000,03,3,1200,201411,1,15,000000000,5,01,201812,1,1,02,0,12,116,6545,5376,P20,
