EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548216,TRI-CITY BOXING CLUB,% BENNIE RAY WALLEY,3911 SNOOK AVE,PASCAGOULA,MS,39581-3439,0000,03,3,1000,201902,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A99,
010554145,LUCIAN A & JERRI JETER HARVEY FOUNDATION,% LUCIAN A HARVEY JR,2222 EASTOVER DR,JACKSON,MS,39211-6721,0000,03,3,1000,200205,1,04,000000000,1,01,201912,4,1,00,1,12,152894,80,,T22,
010558961,HARRISBURG CULTURAL AND SOCIAL SERVICES CENTER INC,,1800 W MAIN ST STE 12 # 12,TUPELO,MS,38801-3256,0000,03,3,1000,200304,1,15,000000000,1,01,201912,6,4,01,0,12,1234477,286429,282786,P80,
010561348,PHI THETA KAPPA FRATERNITY,% CHIEF FINANCIAL OFFICER,PO BOX 13729,JACKSON,MS,39236-3729,1350,03,9,2000,195609,1,15,059000000,1,01,201912,0,0,02,0,12,0,0,0,,BETA KAPPA IOTA CHAPTER
010569087,CHURCH OF CHRIST CHRISTIAN CNTR NON-DENOMINATIONAL EST 2002,,6731 SANDBOURNE W,OLIVE BRANCH,MS,38654-7543,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010577626,CHRISTIAN METHODIST EPISCOPAL CHURCH,,430 W GILMORE ST,SENATOBIA,MS,38668-2523,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,MOUNT OLIVE CME CHURCH
010605437,REPENTANCE IN FAITH MINISTRIES INTERNATIONAL,,PO BOX 261,BELDEN,MS,38826-0261,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010613317,GREENLEAF VOLUNTEER FIRE DEPARTMENT,% KEVIN R DAVIS,8584 PALESTINE RD,COLDWATER,MS,38618-8027,0000,03,3,1000,201805,1,15,000000000,1,01,201912,3,3,02,0,12,80818,41061,41061,M24,
010623527,SONS OF CONFEDERATE VETERANS INC,% LARRY HELLUMS,123 DOUGLAS ST,BRUCE,MS,38915-9340,5443,03,9,1200,200708,1,15,119995000,1,01,201907,0,0,02,0,07,0,0,0,W30,1969 CALHOUN AVENGERS CAMP
010638550,JERUSALEM MISSIONARY BAPTIST CHURCH,,PO BOX 190,PLANTERSVILLE,MS,38862-0000,0000,03,3,1000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010638617,GOOD SHEPARD OUTREACH MINISTRIES INTERNATIONAL,% OBIE S FOX,574 HARDIN CIR,PONTOTOC,MS,38863-7257,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010650025,CLAN KEITH SOCIETY USA INC,% ELIZABETH KEITH,311 WOOD ST,WATER VALLEY,MS,38965-2606,0000,04,3,3000,200205,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,A23,
010670794,TOGETHER ENHANCING AUTISM AWARENESS IN MISSISSIPPI INC,% YEAGER MARK,PO BOX 1,TAYLORSVILLE,MS,39168-0001,0000,03,3,1000,200512,1,15,000000000,1,01,201912,4,4,01,0,12,457042,164733,164733,G84,
010696059,PRECIOUS TYMES FOUNDATION,% ROBERT BRADDY,531 R T BRADDY RD,FLORENCE,MS,39073-8084,0000,03,3,1000,201706,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B90,
010697050,UNITY CHURCH OF GULFPORT,% JUDY VOGHT SL-NON UNITY,PO BOX 1025,GULFPORT,MS,39502-1025,2062,03,9,2700,197002,1,10,059029000,5,01,,0,0,06,0,12,,,,,UNITY OF GULFPORT
010715242,INTERCESSORY GROUP MINISTRIES AND OUTREACH SERVICES,% DELOIS CARTER,PO BOX 48,SARDIS,MS,38666-0048,0000,03,3,1720,200403,1,16,000000000,1,01,201912,4,4,01,0,12,454054,119425,119425,X20,
010725791,HABITAT FOR HUMANITY INTERNATIONAL INC,% RAY VUNCANNON,PO BOX 787,BOONEVILLE,MS,38829-0787,8545,03,9,1000,198701,1,15,029380000,1,01,202006,0,0,02,0,06,0,0,0,L20Z,PRENTISS COUNTY
010746171,REAL LIFE ASSEMBLIES OF GOD,% SUSIE DICKSON,9305 STATELINE RD APT 30G,OLIVE BRANCH,MS,38654-3770,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,08,,,,,
010752106,BROOK HAVEN MENNONITE CHURCH,,2971 TOGO RD,BROOKSVILLE,MS,39739-9786,1971,03,9,7000,196901,1,10,059150001,5,01,,0,0,06,0,12,,,,,
010762954,POTTERS HOUSE FELLOWSHIP WORSHIP CENTER,% ISAIAH V WILLIAMS SR,1110 GRAND AVE,JACKSON,MS,39203-2505,0000,03,3,7000,200307,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010770407,AMERICAN FOX TERRIER RESCUE INC,% DONNA HODGES,223 MOUNTAIN CREEK FARM RD,FLORENCE,MS,39073-8386,0000,03,3,4000,200309,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,D20,
010785222,NEW MEDINAH EDUCATION FOUNDATION,% RASHAD N ALI,PO BOX 18612,HATTIESBURG,MS,39404-8612,0000,03,3,1000,200601,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B90,
010786847,ROLLING THUNDER INC,% PRES JOHN MCKENDREE,112 QUAIL CREEK DR,OXFORD,MS,38655-9664,3437,04,9,1000,199608,2,00,908000000,1,01,201912,0,0,02,0,12,0,0,0,,R T CHAP 1 MS
010801435,STRANGERS HOME MISSIONARY BAPTIST CHURCH,% GWENDOLYN TRIPLETT,178 STEPHEN LYON RD,SHAW,MS,38773-9605,0000,03,3,1270,201511,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,
010809220,NATIVE AMERICAN MISSIONS SUPPORT,% DONALD BRADLEY,PO BOX 1716,OLIVE BRANCH,MS,38654-0965,0000,03,3,7000,200408,1,15,000000000,1,01,202003,0,0,02,0,03,0,0,0,X21,NAMS
010830390,SUREHOUSE COVENANT CHURCH,% ANECIA B WALKER,PO BOX 18523,HATTIEBURG,MS,39404-8523,0000,03,3,7000,200905,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010840977,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,% MILDRED HALL,625 DONNA DR,MCCOMB,MS,39648-5601,5720,19,9,1000,201008,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,W30,4934 COLEMAN-TRANTHAM AUXILIARY
010855951,WOMENS ON THE MOVE OUTREACH MINISTRIES,% KATHY CUTTS,1046 GARDEN PARK DR,JACKSON,MS,39204-5337,0000,03,3,7000,200801,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010855957,GATEWAY TO HEAVEN DELIVERANCE MINISTRIES,% DAISY PATRICK,4203 HENDERSON RD,BYRAM,MS,39272-9230,0000,03,3,7000,200605,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010864209,FRIENDS OF MISSISSIPPI LIBRARIES INC,% STEPHANIE FOLEY,PO BOX 16,UNION,MS,39365-0016,8571,03,9,1300,198804,1,16,061000000,1,01,201912,0,0,02,0,12,0,0,0,,FRIENDS OF NEWTON REGIONAL LIBRARY
010864787,HOUSE OF YISRAEL OF MISSISSIPPI,% CAROLYN F PATTERSON,1080 PECAN PARK CIR,JACKSON,MS,39209-6913,0000,03,3,7000,200611,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010867838,NEW TESTAMENT HOUSE OF GOD PENTECOSTAL APOSTOLIC CHURCH INC,% JAMES L GRAY,PO BOX 31732,JACKSON,MS,39286-1732,0000,03,3,7000,200608,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,X21,
010869469,PARAKLETOS,% TORY BRADLEY,559 CASEY LN,COLUMBUS,MS,39702-7736,0000,03,3,1200,201608,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,J20,PARAKLETOS
010886091,COALITION OF AFRICAN AMERICAN COMMUNITIES,% ANTHONY THOMPSON,3280 39TH AVE,GULFPORT,MS,39501-5833,0000,03,3,1200,200806,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O50,
010889507,SALEM MISSIONARY BAPTIST CHURCH,% ANTONNIO BENTON,PO BOX 104,PAULDING,MS,39348-0104,0000,03,3,7000,201602,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010907639,NEW BEGINNING CENTER,% MISSY WEEKS,PO BOX 384,VAIDEN,MS,39176-0384,0000,03,3,1200,200908,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,P20,
010908494,DANVILLE CME CHURCH,,332 CR 408,RIENZE,MS,38865-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,
010916703,TOPS CLUB INC,% DAVID STIVER,316 CARTER RD,BILOXI,MS,39531-2804,5501,03,9,1200,200809,1,16,000000000,5,01,202003,0,0,02,0,03,0,0,0,,214 BILOXI TOPS MS
010916705,TOPS CLUB INC,% BRENDA MILLS,1523 1B PARKWOOD DR N,GULFPORT,MS,39503-0000,5501,03,9,1200,200809,1,16,000000000,5,01,202003,0,0,02,0,03,0,0,0,,190 DIBERVILLE TOPS MS
010921146,FOCUS OUTREACH COMMUNITY DEVELOPEMENT CORPORATION,,PO BOX 270,LOUISVILLE,MS,39339-0270,0000,03,3,1000,201407,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,L21,
