EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010571299,HILLSIDE CHURCH,% TERESA PARKER,5685 HWY 93 S,WHITEFISH,MT,59937-8523,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
010613656,CHAPEL OF HOPE MINISTRIES OF ROUNDUP,% MERLE & LOUISE HUNT,16843 HWY 12 WEST,ROUNDUP,MT,59072-0000,0000,03,3,7000,200206,1,10,000000000,1,01,,3,3,06,0,09,,,,X20,YCH
010649149,MONTANA 4-H FOUNDATION INC,% MUSSELSHELL-GOLDEN VALLEY COUNTY,204 8TH AVE E,ROUNDUP,MT,59072-2347,5954,03,9,2000,201310,0,15,000000000,5,01,202009,0,0,02,0,09,0,0,0,,MUSSELSHELL GOLDEN VALLEY 4H COUNCI
010667433,KNIGHTS OF COLUMBUS,% WM TODD WOHLMAN FIN SEC,PO BOX 851,STEVENSVILLE,MT,59870-0851,0188,08,9,1000,194010,1,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,,13093 OUR LADY OF THE MOUNTAINS
010671365,GARDEN CITY NEIGHBORS INC,% PETER B HANCE,1235 34TH STREET,MISSOULA,MT,59801-8516,0000,03,3,1000,200208,1,16,000000000,1,01,202003,6,1,02,0,03,1119434,4479,4479,L21,
010693898,CARBON COUNTY FOOD BANK,% MARTHA HAVERKAMP,PO BOX 230,JOLIET,MT,59041-0230,0000,03,3,1000,201502,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,K31,
010724149,FORTUNA INC,% HERTHA LUND,PO BOX 5000,GARDINER,MT,59030-5000,0000,03,3,1000,200305,1,10,000000000,1,01,,0,0,06,0,04,,,,X11,
010747657,TOASTMASTERS INTERNATIONAL,% SHOOTIN THE BULL CLUB,936 S 6TH ST W,MISSOULA,MT,59801-3753,0820,03,9,2000,194505,1,16,059319000,1,01,201912,0,0,02,0,12,0,0,0,,8712 SHOOTIN THE BULL CLUB
010751896,MEAGHER COUNTY SPORTSMEN ASSOCIATION,% JOANNE CUMMINS,PO BOX 582,WHT SPHR SPGS,MT,59645-0582,0000,07,3,1000,200306,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,N50,
010754227,RAVALLI COUNTY AVIATION SAFETY FOUNDATION INC,% RON KULLICK,PO BOX 2217,HAMILTON,MT,59840-4217,0000,03,3,1200,200308,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,W11,
