EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,% RISK MANAGEMENT SECTION,547 S 7TH ST SUITE 184,BISMARCK,ND,58504-5859,0000,03,3,1000,199901,1,16,998000000,5,01,201912,4,4,01,0,12,429726,285137,285137,W03,
010525386,BLUE KNIGHTS,,4502 HOMESTEAD CIR,GRAND FORKS,ND,58201-7263,0000,10,3,1000,201301,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,Y42,NDI
010575746,SAINT GIANNAS HOME INC,% MARY PAT JAHNER,15605 COUNTY ROAD 15,MINTO,ND,58261-9476,0000,03,3,1200,200207,1,15,000000000,1,01,201912,6,5,01,0,12,1609611,596560,596560,P40,
010587620,ABUNDANT FAITH MINISTRIES,,PO BOX 181,LANGDON,ND,58249-0181,2763,03,9,7000,197707,1,10,000000000,0,01,,0,0,06,0,04,,,,,REV LINWOOD W HEIRONIMUS JR
010589927,MINOT COMMUNITY FOUNDATION,% MINOT COMMUNITY FOUNDATION,606 BURDICK EXPRESSWAY W STE A,MINOT,ND,58701-4218,0000,03,3,1000,200205,1,17,928000000,1,01,201912,8,8,01,0,12,22713339,14700897,1214782,S20,
010698137,NATIONAL FEDERATION OF MUSIC CLUBS,% KATHY HOMAN,8651 48TH ST NE,DEVILS LAKE,ND,58301-9558,3832,03,9,2000,200202,1,16,000000000,5,01,202006,0,0,02,0,06,0,0,0,A68,DEVILS LAKE MUSIC CLUB
010746351,FOUNDATION FOR LIFE ENRICHMENT INC,% STANLEY WRIGHT,PO BOX 628,STANLEY,ND,58784-0628,0000,03,3,1000,201504,1,15,000000000,1,01,201912,4,3,01,0,12,291485,55926,55926,B99,
010847026,LITCHVILLE COMMUNITY CENTER INC,% NORMA MIEDEMA,4682 108TH AVE SE,LITCHVILLE,ND,58461-9429,0000,03,3,1200,200603,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,P28,
010868557,GRAND FORKS DOG TRAINING CLUB INC,% LEE ANDERSON,707 22ND AVE S,GRAND FORKS,ND,58201-6943,0000,03,3,1240,201410,1,16,000000000,1,01,201812,0,0,02,0,12,0,0,0,D61,
010916120,TURTLE MOUNTAIN CDFI,% CHRYSTEL CORNELIUS,PO BOX 204,BELCOURT,ND,58316-0204,0000,03,3,1000,201905,1,15,000000000,1,01,201712,6,2,01,0,12,1085953,19533,19533,L20,
010918275,VFW AUXILIARY DEPT OF NORTH DAKOTA,% JANET L BRATLIE,PO BOX 567,NORTHWOOD,ND,58267-0567,5718,19,9,1000,201006,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,,2707 NORTHWOOD AUXILIARY
010950389,NORTHWEST LANDOWNERS ASSOCIATION,% ROBERT N GRANT,6050 OLD HIGHWAY 2,BERTHOLD,ND,58718-9007,0000,06,3,2000,201202,2,00,000000000,1,01,201912,1,3,01,0,12,8534,68485,68485,S41,
010968114,GLENBURN SENIOR CITIZENS INC,,PO BOX 124,GLENBURN,ND,58740-0124,0000,04,3,3000,201411,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,S21,
017526900,LOGAN COUNTY INTERAGENCY,% MARIA REGNER,301 BROADWAY,NAPOLEON,ND,58561-7010,0000,03,3,1000,200204,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,S21,
020569393,INDO-AMERICAN ASSOCIATION OF GREAT PLAINS,% PANJINI SIVANNA,3120 25TH ST S STE Z 211,FARGO,ND,58103-6110,0000,03,3,1000,200307,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,A20,
020592926,FRIENDS OF THE KINDRED PUBLIC LIBRARY,% LISA ANDERSON,330 ELM ST,KINDRED,ND,58051-4008,0000,03,3,1200,200207,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B11,
020735781,CANDO AREA FOOD PANTRY,% DAVID BENSON,PO BOX 576,CANDO,ND,58324-0576,0000,03,3,1000,200601,1,15,000000000,1,01,202003,0,0,02,0,03,0,0,0,K31,CAFP
020752258,BERTHOLD SPORTSMEN CLUB INC,% JOE LAUTENSCHLAGER,PO BOX 65,BERTHOLD,ND,58718-0065,0000,03,3,2100,200605,1,16,000000000,1,01,201912,2,3,01,0,12,20886,98426,17806,C30,
