EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010658759,BURLINGTON CAPITAL FOUNDATION,% M L SULLIVAN,1004 FARNAM ST STE 400,OMAHA,NE,68102-1885,0000,03,3,1000,200205,1,04,000000000,1,01,201912,6,6,00,1,12,2986776,2903942,,T21,
010741330,OMAHA HOCKEY HALL OF FAME,% GARY ANDERSON,3515 N 205TH ST,ELKHORN,NE,68022-4715,0000,03,3,1200,200403,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,T20,
010751719,GREAT PLAINS CHAPTER OF ASSOCIATION OF CLINICAL RESEARCH PROFESSIONALS,,15666 LAMP CIR,OMAHA,NE,68118-2038,0000,03,3,2800,201906,1,16,000000000,1,01,,0,0,02,0,12,,,,B03,
010780152,OMAHA TENNIS ASSOCIATION DEVELOPMENT FUND,% OTA DEVELOPMENT FUND,18103 MAYBERRY ST,ELKHORN,NE,68022-5704,0000,03,3,1000,200607,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,N66,
010789297,TEMPLO FUENTE DE VIDA,,1020 E 8TH ST,SCOTTSBLUFF,NE,69361-3707,2197,03,9,7000,197109,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010794555,OMAHA PHONICS ALL STARS INC,% JOHN LATENSER,PO BOX 24985,OMAHA,NE,68124-0985,0000,03,3,1000,200812,1,15,000000000,1,01,,0,0,00,0,12,,,,B99,
010803924,HEARTLAND LUTHERAN HIGH SCHOOL FOUNDATION,% CURTIS FISCHER,3900 W HUSKER HWY,GRAND ISLAND,NE,68803-6001,0000,03,3,1700,200403,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,B82,
010821714,NEBRASKA RURAL LETTER CARRIERS AUXILIARY,% DEE SHORT,70325 567TH AVE,FAIRBURY,NE,68352-5512,0000,03,3,2000,201712,1,15,000000000,5,01,202006,0,0,02,0,06,0,0,0,B82,
010827441,ASHLAND DOG POUND FOUNDATION,% DORIS DELESKI,305 N 16TH ST,ASHLAND,NE,68003-1720,0000,03,3,1000,200506,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,D20,
010884183,FIESTA MEXICANA OF THE HEARTLANDS,% EMILY BERNER,PO BOX 81555,LINCOLN,NE,68501-1555,0000,03,3,1000,200711,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B90,
010906784,GRETNA BOOSTER CLUB,% PAUL GOLDENSTEIN,920 VILLAGE SQ,GRETNA,NE,68028-7854,0000,03,3,1000,200812,1,15,000000000,1,01,202005,0,0,02,0,05,0,0,0,B11,
010906791,GRETNA POST PROM COMMITTEE,% PAUL GOLDENSTEIN,920 VILLAGE SQ,GRETNA,NE,68028-7854,0000,03,3,1000,200811,1,15,000000000,1,01,202005,3,3,01,0,05,54387,64697,64697,B94,
010909436,DISABLED AMERICAN VETERANS AUXILIARY INC,% ALICE OSTRAND,PO BOX 814,KEARNEY,NE,68848-0814,2473,04,9,1000,197310,2,00,908921000,5,01,202006,0,0,02,0,06,0,0,0,,41 CUSTER UNIT
010915911,PRAISE CHAPEL LINCOLN NEBRASKA,% DAVID BURROWS,3500 N 11TH ST,LINCOLN,NE,68521-2517,3559,03,9,7000,199508,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010922135,NEBRASKA 4-H FOUNDATION,% KAREN PETERSON,PO BOX 757,LEXINGTON,NE,68850-0757,6090,03,9,2000,201409,0,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,,TAIL TWISTERS 4-H CLUB
010922449,BLUE SPRINGS BALL DIAMOND ASSOCIATION,,PO BOX 123,BLUE SPRINGS,NE,68318-0123,0000,03,3,2000,201604,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,N40,
010945011,UNITED CHURCH OF THE PLAINS,,PO BOX 66,DALTON,NE,69131-0066,9386,03,9,7000,198804,1,10,001000000,1,01,,0,0,06,0,12,,,,,
010955929,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF NEBRASKA,% THOMAS J ARENDS,1035 11TH ST,GERING,NE,69341-3242,1917,19,9,1000,196801,2,00,907908279,5,01,202006,0,0,02,0,06,0,0,0,,1 DISTRICT VFW
010970567,DEPARTMENT OF NEBRASKA VFW OF THE UNITES STATES AUXILIARY,% DARLENE MACHACEK TREASURER,PO BOX 87,WISNER,NE,68791-0087,5757,19,9,1000,201010,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,,WISNER VFW AUX 5767
010976351,PARENTS AND TEACHERS OF EAGLE,% TERI ROUNDS,PO BOX 414,EAGLE,NE,68347-0414,0000,03,3,1000,201108,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,B94,PTE
013289788,FIGURE SKATING CLUB OF OMAHA,,PO BOX 24917,OMAHA,NE,68124-0917,0000,03,3,1000,199507,1,15,283000000,1,01,202005,2,4,01,0,05,18366,117040,113908,N50Z,
013515109,NORFOLK ARTS CENTER,,305 N 5TH ST,NORFOLK,NE,68701-4092,0000,03,3,2000,198002,1,15,091119000,1,01,202006,6,5,01,0,06,2502359,578035,575230,A200,
014152840,POLK SENIOR CENTER INCOPORATED,% MARIE BROWN,PO BOX 83,POLK,NE,68654-0083,0000,03,3,1000,198402,1,15,575296000,1,01,202003,0,0,02,0,03,0,0,0,,
020546735,LINCOLN CHINESE CULTURAL ASSOCIATION,% JIAQI GUO,9305 RAVENWOOD LN,LINCOLN,NE,68526-6003,0000,03,3,1000,201204,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,A23,
020573327,BRUCE E AND DEBRA K GREWCOCK FOUNDATION,% BRUCE E GREWCOCK DIRECTOR,13421 HAMILTON ST,OMAHA,NE,68154-5150,0000,03,3,1000,200206,1,04,000000000,1,01,201912,6,4,00,1,12,4438858,195024,,T22,
