EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010158946,SIGMA DELTA SORORITY,% CAROLINE ALLAN,DARTMOUTH COLLEGE 5221 HINMAN,HANOVER,NH,03755-0000,0000,07,3,1000,199508,2,00,036000000,5,01,201906,3,3,01,0,06,38236,66617,66617,,
010174648,ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,,5 METROPOLITAN AVE,NASHUA,NH,03064-1649,0005,08,6,1000,194005,1,00,036000000,5,01,201909,5,3,01,0,09,845951,80876,80876,,
010188907,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,% DONNA MERRILL,34 COMMERCIAL DR,BRENTWOOD,NH,03833-6630,0444,05,9,3000,194107,2,00,263264000,5,01,201912,0,0,02,0,12,0,0,0,,1468 LOCAL PAINTERS UNION
010286071,KAPPA DELTA PHI INC,,380 LAFAYETTE RD UNIT 11 # 334,SEABROOK,NH,03874-4559,2047,07,6,1000,196911,2,00,059036040,1,01,201908,3,3,01,0,08,84847,81715,81715,,
010286541,MAINE DENTAL SERVICE CORPORATION,,PO BOX 2002,CONCORD,NH,03302-2002,0000,04,3,3000,197007,2,00,179211000,1,01,201912,9,9,01,0,12,61952148,138502763,130130647,,
010340501,COE-BROWN NORTHWOOD ACADEMY,% NANCY EDMUNDS,907 FIRST NH TURNPIKE,NORTHWOOD,NH,03261-3201,0000,03,3,1000,201206,1,16,000000000,1,01,202007,0,0,02,0,07,0,0,0,B84,
010349012,LA LECHE LEAGUE INTERNATIONAL INC,% SARAH RUSSELL,36 MEADOW LN,ROCHESTER,NH,03867-5017,3130,03,9,2000,197902,1,16,059120000,5,01,202003,0,0,02,0,03,0,0,0,,LLL MAINE-NEW HAMPSHIRE
010361086,EASTERN REGIONAL ASSOCIATION OF ADVENT CHRISTIAN CHURCHES,,PO BOX 1913,ROCHESTER,NH,03866-1913,1428,03,9,7000,195809,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010412164,GULF OF MAINE MARINE EDUCATION ASSOCIATION,% SARA ELLIS,143 PLEASANT ST,PORTSMOUTH,NH,03801-4506,0000,03,3,2000,201908,1,15,123120124,1,01,201909,3,4,01,0,09,80777,226915,226915,B01,
010454657,MOUNTAIN MEADOW RIDERS SNOWMOBILE CLUB,% ROGER J CYR JR TR,PO BOX 342,CONWAY,NH,03818-0342,0000,07,3,1000,201309,2,00,000000000,1,01,202006,0,0,02,0,06,0,0,0,N63,
