EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010342663,HELEN F WYLIE FOUNDATION,% MAINE NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197611,1,04,040041043,2,01,201912,5,4,00,1,12,577261,163418,,,
010352472,ST AUGUSTINE TRUST FUND 40-6130848230,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,197804,1,04,560561602,2,01,201912,3,2,00,1,12,30267,11616,,,
010370716,SPURWINK-RI,% RAYMOND A ARSENAULT,1 SPURWINK PL,CRANSTON,RI,02910-2012,5573,03,6,2000,200909,2,11,046030031,5,01,201812,6,7,01,0,12,1304047,7382557,7379030,F33Z,
010390887,NEW ENGLAND RSVP COUNCIL,% TREASURER,PO BOX 774,WOONSOCKET,RI,02895-0784,0000,03,3,1000,201508,1,16,000000000,1,01,201806,0,0,02,0,06,0,0,0,T03,
010500483,LEONE R MURRAY TRUST UART 4,% FLEET PRIVATE CLIENTS GROUP,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199907,1,04,000000000,2,01,201912,4,3,00,1,12,143799,54251,,A120,
010504173,MARGARET & DON MATHESON SCHOLARSHIP FUND,% CHESTER W STERCZEK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,2000,201408,1,04,000000000,2,01,201912,5,4,00,1,12,666455,381435,,B82,
010515885,LIDA P UNDERHILL CHARITABLE TR,% FLEET NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199905,1,04,000000000,2,01,201912,4,4,00,1,12,279298,113881,,T22,
010517029,TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O,% KATHLEEN CASE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,000000000,2,01,201812,8,7,01,0,12,20092028,5106912,768050,Y99,CNTRL ME PWR CO UNION RETE MED VEBA
010517035,TRUST AGREEMENT FOR THE POST- RETIREMENT MEDICAL PLAN FOR NON-,% BANK OF AMERICA,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199812,2,00,265000000,2,01,201812,7,6,01,0,12,,,,,CTRL ME PWR CO NON-UNI RET MED VEBA
010520871,RETIREE MEDICAL AND LIFE INSURANCE PLAN FOR FORMER CONSUMERS AND AMER,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199811,2,00,265000000,2,01,201912,7,4,01,0,12,6892642,260015,260015,,
010560186,AMERICAN COLLEGE OF HEALTHCARE EXECUTIVES,,334 KNIGHT ST UNIT 1210,WARWICK,RI,02886-5807,4330,06,9,2000,198310,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,S41,ACHE RHODE ISLAND CHAPTER
010567509,ARCTIC VILLAGE ASSOCIATION,% DENISE TOURANGEAU,PO BOX 181,WEST WARWICK,RI,02893-0181,0000,04,3,1000,200409,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,S80,
010575469,JOE STRAUSS FOUNDATION INC,% JO ELLEN & STEVEN HOROWITZ,37 LANE F,COVENTRY,RI,02816-6244,0000,03,3,2000,200207,1,16,000000000,1,01,201812,2,1,02,0,12,11788,11,11,N64,
010579984,UTILITY ECONOMIC DEVELOPMENT ASSOCIATION,,1 STEWART CT,NEWPORT,RI,02840-6907,0000,06,3,2000,200207,2,00,000000000,1,01,201912,4,4,01,0,12,254482,210151,210151,S41,
010607428,PRESCHOOL PARENTS ASSOCIATION OF CUMBERLAND,% CHRISTNE VERMA,130 SCOTT RD,CUMBERLAND,RI,02864-2812,0000,03,3,1200,200407,1,15,000000000,5,01,201806,0,0,02,0,06,0,0,0,B112,
010623734,FRIENDS OF DRESDEN MUSIC FOUNDATION,% C/O EDWIN G FISCHER MD,8 HALIDON AVE,NEWPORT,RI,02840-3816,0000,03,3,1000,200207,1,16,000000000,1,01,201912,3,3,01,0,12,78721,73680,73680,A12,
010632263,WHITE LILY FOUNDATION 0012332370,% FLEET NATIONAL BANK,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,200212,2,04,000000000,1,01,201911,5,4,00,1,11,654109,116508,,T20,
010649850,NATIONAL UTILITY CONTRACTORS ASSOCIATION OF RHODE ISLAND,% ROBERT LAFLEUR,PO BOX 881,GREENVILLE,RI,02828-0881,0000,06,3,2000,200512,2,00,000000000,1,01,201912,4,4,01,0,12,225371,116835,110086,S41,
010676696,EVERETT TR FBO CAYUGA COUNTY 0003431450,% FLEET NATIONAL BANK TTEE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,200304,1,04,000000000,2,01,201912,5,4,00,1,12,529165,191665,,T20,
010677391,NEW ENGLAND ASSOCIATION OF DRUG COURT PROFESSIONALS,% LINDA LYNCH,ONE DORRANCE PLAZA,PROVIDENCE,RI,02903-3932,0000,03,3,1000,200208,1,16,000000000,1,01,201912,3,4,01,0,12,39338,170403,170403,I50,
010681961,BEECHWOOD FOUNDATION INC,% KEITH B KYLE,50 DUDLEY AVE,NEWPORT,RI,02840-1208,0000,03,3,1000,201509,1,15,000000000,1,01,201909,1,3,01,0,09,8297,74221,74221,A65,
010711160,HOPE RESEARCH CENTER INC,% CATHERINE PASTILLE,3 SHADOWBROOK LN APT F,SMITHFIELD,RI,02917-0000,0000,03,3,1000,200307,1,04,000000000,1,25,200712,0,1,00,0,12,0,1,,V23,
