EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010430328,KANZEON INC,,3575 SOUTH WEST TEMPLE,SALT LAKE CITY,UT,84115-4451,0000,03,3,7000,198809,1,10,001029000,1,01,,0,0,06,0,12,,,,,
010584107,YOUTH DRIVING FOR VALUES,% PAUL PUGMIRE,680 W 3300 S,S SALT LAKE,UT,84119-3320,0000,03,3,1000,200209,1,15,000000000,1,01,201912,3,4,01,0,12,58330,334780,334780,N6A,
010589975,BLANDING COMMUNITY LEGACY TRUST,% BRETT HOSLER,50 W 100 S,BLANDING,UT,84511-3743,0000,03,3,1000,200206,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,T31,
010600848,LEGACY CHARITABLE FOUNDATION,% DAVID J BROMLEY,716 EAST 4500 SOUTH NO 260,MURRAY,UT,84107-3080,0000,03,3,1000,200512,1,17,000000000,1,01,201912,3,1,02,0,12,64840,74,74,T20,
010627411,HARMONY VALLEY VOLUNTEER FIRE ASSOCIATION,% MELANIE BALLARD,PO BOX 621,NEW HARMONY,UT,84757-0621,0000,03,3,1000,201409,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,M19,
010660932,WORLD CONGRESS OF HERPETOLOGY,% ALAN SAVITZKY,1054 SUMAC DR,LOGAN,UT,84321-4814,0000,03,3,2000,200211,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,B03,
010674266,UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM,% WADE STARKS,3075 N MAIN ST,SPANISH FORK,UT,84660-9506,0000,03,3,1000,200802,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,M23,
010682379,NATIONAL EXCHANGE CLUB,% RENEE MILLER,5347 S MAJESTIC VILLAGE CIR,MURRAY,UT,84123-4547,1097,04,9,1000,195009,2,00,059328000,5,01,202006,0,0,02,0,06,0,0,0,,2765 MURRAY UT
010693259,MILTON CEMETARY ASSOCIATION,% DOUGLAS FORD,1410 N MORGAN VALLEY DR,MORGAN,UT,84050-9636,0000,13,3,2000,200208,1,00,000000000,1,01,201904,0,0,02,0,04,0,0,0,Y50,
010703942,SARATOGA SPRINGS FIREFIGHTERS ASSOCIATION,% DARREN WRIGHT,995 W 1200 N,SARATOGA SPGS,UT,84045-5418,0000,03,3,1000,200301,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,M24,
010705322,COURAGEOUS CHRISTIANS UNITED,% ROB SIVULKA,6694 S SOL RISE DR,WEST JORDAN,UT,84081-8151,0000,03,3,1270,200307,1,16,000000000,1,01,201912,3,3,02,0,12,26570,45263,45263,X802,
010714863,COMMUNITY HOUSING SERVICES INC,% KENNETH W PATTERSON,649 E SOUTH TEMPLE,SALT LAKE CTY,UT,84102-1153,7216,03,9,1000,199505,1,15,380000000,1,01,201912,6,4,01,0,12,1146778,235207,235207,,CEDAR CANYON INC
010751931,UTAH BUSINESS LENDING CORPORATION,% GORDON HOLT,1196 W S JORDAN PARKWAY UNIT D,SOUTH JORDAN,UT,84095-5516,0000,03,3,1000,200401,1,15,000000000,1,01,201812,4,3,02,0,12,460083,29290,29290,S32,
