EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010180687,WINDSOR IMPROVEMENT CORPORATION,% HAROLD PYKE,PO BOX 455,WINDSOR,VT,05089-0455,0000,03,3,1000,200211,1,15,000000000,1,01,201906,4,3,01,0,06,275626,99714,99714,S30,
010471151,REGULATORY ASSISTANCE PROJECT,% FREDERICK W WESTON II DIRECTOR,50 STATE ST,MONTPELIER,VT,05602-2957,0000,03,3,1000,199208,1,15,149000000,1,01,201912,7,7,01,0,12,6736910,7861211,7861211,C40Z,
010477533,NORTHERN NEW ENGLAND SCHOOL OF BANKING,% MAINE BANKERS ASSOC,PO BOX 587,MONTPELIER,VT,05601-0587,0000,03,3,2000,199308,1,16,149000000,1,01,201912,3,4,01,0,12,95428,160157,160157,A20Z,
010532101,NERGG INC,% CYNTHIA L INGHAM,152 ALLEN RD UNIT 212,S BURLINGTON,VT,05403-3804,0000,03,3,1000,200012,1,15,000000000,1,01,201912,3,3,01,0,12,72410,53869,53869,T70,
010552272,VERMONT FLOOR HOCKEY INC,% MARIO DUPIGNY-GIROUX,PO BOX 462,WILLISTON,VT,05495-0462,0000,07,3,1000,200209,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,N60,
010558737,BATTEN KILL WATERSHED ALLIANCE INC,,PO BOX 734,ARLINGTON,VT,05250-0734,0000,03,3,2100,200209,1,15,000000000,1,01,201812,1,1,02,0,12,7408,8202,8202,A80,
010565606,TIMMYS KIDS INC,% LISA BOVAT CLARK,108 MOUNTAIN VIEW DRIVE,SWANTON,VT,05488-0000,0000,03,3,1000,200210,4,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,P30,
010569069,COLCHESTER FOOTBALL BOOSTERS ASSOCIATION INCORPORATED,% JAYNE GAMACHE,PO BOX 618,COLCHESTER,VT,05446-0618,0000,03,3,1000,200207,1,16,000000000,1,01,201912,3,3,02,0,12,74366,38026,31646,B112,
010569076,NORTH DANVILLE BAPTIST CHURCH,RAYMOND CLOUATRE,1767 N DANVILLE RD,DANVILLE,VT,05828-9546,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,170
010569580,WESLEYAN CHAPEL,% CHARLES PAOLANTONIO,1 MIDDLEBROOK RD RT 7,FERRISBURG,VT,05456-0000,2079,03,9,7200,000000,0,10,000000000,0,01,,0,0,06,0,12,,,,,
010581546,BIG HEAVY WORLD FOUNDATION INC,% JAMES LOCKRIDGE,PO BOX 428,BURLINGTON,VT,05402-0428,0000,03,3,2000,201007,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A68,
010588395,AMERICAN EMU ASSOCIATION,% DEE DEE MARES,179 SCOTT ROAD,NEWBURY,VT,05051-9801,7202,05,9,1000,199409,2,00,237000000,1,01,201912,0,0,02,0,12,0,0,0,K26,NEW ENGLAND
010601585,OWEN HOUSE LTD,% YVONNE S ROONEY,1860 MAIN ST,CASTLETON,VT,05735-7709,0000,03,3,1000,200203,1,15,000000000,1,01,201712,4,0,02,0,12,422180,0,0,P80,
010602627,ESTEY ORGAN MUSEUM INC,% CYNTHIA G WILCOX TREAS,108 BIRGE ST,BRATTLEBORO,VT,05301-6460,0000,03,3,1000,200303,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,A54,
010621878,NORTHEAST ADDISON TELEVISION INCORPORATED,% MARY ARBUCKLE,PO BOX 262,BRISTOL,VT,05443-0262,0000,03,3,1000,200307,1,15,000000000,1,01,201912,4,4,01,0,12,112335,103918,103918,A32,
010636109,DEERFIELD VALLEY FOOD PANTRY INCORPORATED,% CAROL DEBARBA,PO BOX 1743,WILMINGTON,VT,05363-1743,0000,03,3,1000,200205,1,15,000000000,1,01,202005,4,4,01,0,05,183353,125897,125897,K30,
010694256,VERMONT EMPLOYEE OWNERSHIP CENTER INC,% DONALD JAMISON,PO BOX 546,BURLINGTON,VT,05402-0546,0000,03,3,1200,200212,1,15,000000000,1,01,201909,4,4,01,0,09,271916,165487,165487,B99,
010701053,ZIENZELE FOUNDATION,% JAMES H CLARK,PO BOX 41,WEST TOPSHAM,VT,05086-0041,0000,03,3,1200,200308,1,15,000000000,1,01,201912,4,4,01,0,12,124330,172952,164804,T40,
010719207,FIRST MEDICAL INSURANCE COMPANT A RISK RETENTION GROUP,% MARSH MANAGEMENT SERVICES I,463 MOUNTAIN VIEW DR STE 301,COLCHESTER,VT,05446-5952,0000,03,3,1000,200412,1,17,000000000,1,01,201912,9,9,01,0,12,98620862,53380766,16348817,Y200,
010729039,NORTHEAST WILDERNESS TRUST,,17 STATE STREET,MONTPELIER,VT,05602-3172,0000,03,3,1000,200209,1,15,000000000,1,01,202006,8,6,01,0,06,14967848,4567142,3571751,C30,
010730062,ADDISON RUTLAND SUPERVISORY UNION EDUCATIONAL ASSOCIATION,% KIM RANSOM,33 MECHANIC ST,FAIR HAVEN,VT,05743-1048,0000,05,3,3000,201805,2,00,000000000,5,01,,0,0,02,0,08,,,,J40,
010732021,LUDLOW STREETSCAPES,% MARIA TOMASELLI,PO BOX 364,LUDLOW,VT,05149-0364,0000,03,3,1000,200305,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,S20,
010734048,VERMONT ASSOCIATION FOR ACUPUNCTURE AND ORIENTAL MEDICINE,% DIANNE BARCLAY,PO BOX 1094,SHELBURNE,VT,05482-1094,0000,06,3,2000,200802,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,S41,
010738143,CRYSTAL LAKE PRESERVATION ASSOCIATION INC,% KRISTIN ATWOOD,34 MAIN ST,BARTON,VT,05822-9703,0000,03,3,1200,200401,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,C32,
010758063,MAGIC HOUSE INC,% JENNIFER CANFIELD,705 TURKEY HILL RD,NORTHFIELD,VT,05663-7011,0000,03,3,1200,200303,1,15,000000000,1,01,201912,2,4,01,0,12,10005,174588,174588,B99,
010760571,VERMONT OUTDOOR DISCOVERY CENTER INC,% BETH ALLEN,4785 VT RT 14,WILLIAMSTOWN,VT,05679-9770,0000,03,3,2000,200306,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,P30,
010760865,LAMOILLE COMMUNITY FOOD SHARE INC,% PUFFER UNITED METHODIST CHURCH,PO BOX 173,MORRISVILLE,VT,05661-0173,0000,03,3,1000,200302,1,15,000000000,1,01,201912,4,4,01,0,12,315666,232057,230107,K31,
010771700,STOCKBRIDGE MEETING HOUSE SOCIETY INC,% MARILYN HUNT,PO BOX 4,STOCKBRIDGE,VT,05772-0004,0000,03,3,2000,200310,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A80,
010772292,VERMONT SUZUKI VIOLINS INC,% PAM REIT,199 PIETTE RD,HINESBURG,VT,05461-7107,0000,03,3,2000,200310,1,11,000000000,1,01,202006,0,0,02,0,06,0,0,0,A62,
010785941,KPAS INC,% RONI DONNENFELD,293 SCHOOL RD,WARREN,VT,05674-9559,0000,03,3,1200,200311,1,15,000000000,1,01,201906,3,3,01,0,06,37412,57681,57681,O20,WARREN KPAS
010800510,KINGDOM ANIMAL SHELTER INC,% BRUCE CORRETTE,1161 PORTLAND ST,ST JOHNSBURY,VT,05819-2064,0000,03,3,1000,200708,1,15,000000000,1,01,201912,5,4,01,0,12,798284,124658,117548,D20,
010801372,SPIRIT HOLLOW,% TRACEY FOREST,2509 SHAFTSBURY HOLLOW RD,N BENNINGTON,VT,05257-9605,0000,03,3,1000,200412,1,15,000000000,1,01,201812,1,3,01,0,12,3766,59663,59663,X99,
010868920,SAINT MICHAELS COLLEGE MERRILL CEMETERY ASSOCIATION INC,% NEAL E ROBINSON,1 WINOOSKI PARK,COLCHESTER,VT,05439-1000,0000,13,3,1000,200608,1,00,000000000,1,01,202006,0,0,02,0,06,0,0,0,Y50,
010877702,ASSOCIATION OF CIVILIAN TECHNICIANS INC,% ERIC YOSHIKAWA,112 NCO DR,S BURLINGTON,VT,05403-8801,3990,05,9,3000,200307,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,J40,66 GREEN MOUNTAIN CHAPTER
010882993,PARKER GUN FOUNDATION,% JOHN DAVIS,482 SKYLINE DR,WEATHERSFIELD,VT,05156-9740,0000,03,3,1000,200806,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,N61,
010891352,HITCH VILLAGE FUND INC,% DAVE FAYETTE,202 EAGLE MOUNTAIN ROADMILTON,MILTON,VT,05468-0000,0000,03,3,1000,201408,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,B80,
010910791,MILES FOR MIGRAINE,,16 CILLEY HILL RD,JERICHO,VT,05465-8901,0000,03,3,1000,200810,1,15,000000000,1,01,201912,6,6,01,0,12,1092440,2643098,1345098,E12,
010949566,HEARTSFIRE FOUNDATION INC,% RACHEL LEE CUMMINGS,142 MUTTON HILL RD,CHARLOTTE,VT,05445-9080,0000,03,3,1000,201009,1,04,000000000,1,01,201912,1,1,00,1,12,1,1,,T20,
010951179,VERMONT HANDBELL ASSOCIATION,% JERILYN BERGDAHL,1044 SUGAR HILL RD,WALLINGFORD,VT,05773-9631,0000,03,3,2000,201707,1,15,000000000,5,01,202007,0,0,02,0,07,0,0,0,A68,
010964352,AMUCA ART CENTER INC,% SARAH DECANDIO,56 ALLEN ST,RUTLAND,VT,05701-4536,0000,03,3,1000,201105,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,Q33,
010971799,GREEN MOUNTAIN SELF-ADVOCATES INC,,PO BOX 4409,WHITE RIV JCT,VT,05001-4409,0000,03,3,1200,201402,1,15,000000000,1,01,201906,4,4,01,0,06,298451,336158,329425,P018,
020318035,NORTHERN COMMUNITY INVESTMENT CORP,,51 DEPOT SQ STE 2,ST JOHNSBURY,VT,05819-2796,0000,03,3,1000,197510,1,15,402000000,2,01,201903,8,6,01,0,03,18890510,1882748,1788924,S310,NCIC
020331178,NATIONAL STAR ROUTE MAIL CONTRACTORS ASSOCIATION,,392 US ROUTE 2B,ST JOHNSBURY,VT,05819-9199,0711,05,9,3000,194410,0,00,000000000,0,01,,0,0,02,0,06,,,,,NEW HAMPSHIRE
020345467,CROSS COUNTRY SKI AREAS ASSOCIATION,,PO BOX 818,WOODSTOCK,VT,05091-0818,0000,06,3,2000,199010,0,00,000000000,1,01,202006,2,3,01,0,06,13972,81592,81592,,REESE BROWN MBR
020346213,POORE FAMILY FOUNDATION FOR NORTH COUNTRY CONSERVANCY,% MARK WINER,201 ROLLIN IRISH RD,WESTFORD,VT,05494-9799,0000,03,3,1000,199412,1,15,994060000,1,01,201905,4,3,02,0,05,132240,31864,31864,A540,
020348593,EPSILON CHI HOUSE CORP,% VICKY FRAZER FOGG,1327 CHRISTIAN ST,WHITE RIV JCT,VT,05001-9465,0000,07,3,1000,199605,2,00,036000000,1,01,202006,0,0,02,0,06,0,0,0,,
020363667,SPECIAL NEEDS SUPPORT CENTER OF THE UPPER VALLEY,,129 S MAIN ST STE 103,WHITE RIV JCT,VT,05001-7212,0000,03,3,1000,198207,1,15,575000000,1,01,202006,4,4,01,0,06,169649,308264,301839,P41Z,
020386337,THE NORTH COUNTRY HOUNDS INC,% KATE SHATTUCK,773 RUSSELLVILLE RD,SHREWSBURY,VT,05738-9448,0000,07,3,1000,200112,2,00,000000000,1,01,201912,4,3,01,0,12,158812,55436,47626,N50,
020418989,PUTNEY GUN CLUB,% DAVID SMITH,24 POPLAR CMNS,DUMMERSTON,VT,05301-9423,0000,07,3,1000,200904,2,00,000000000,1,01,202001,0,0,02,0,01,0,0,0,N50,
020428356,AMERICAN MOTHERS INC,% ANNA HOWRIGAN,C/O PATRICIA REYNOLDS LAKE ST,SAINT ALBANS,VT,05478-0000,9151,03,9,1000,198703,1,15,059000000,1,01,201912,0,0,02,0,12,0,0,0,,VERMONT
020451558,SECOND WIND FOUNDATION,,200 OLCOTT DR,WHITE RIV JCT,VT,05001-9281,0000,03,3,1000,199211,1,15,573000000,1,01,201906,5,4,01,0,06,879786,336844,336844,P20,
020456742,SWEET ADELINES INTERNATIONAL,% BRENDA GALLUP,262 N MAIN ST,WHITE RIV JCT,VT,05001-7027,1321,03,9,2000,195510,1,16,000000000,5,01,201904,0,0,02,0,04,0,0,0,A6BZ,VALLEY CHORDS
020461109,HIGH HORSES THERAPEUTIC RIDING PROGRAM,,138 HORSE FARM ROAD BOX 278,SHARON,VT,05065-6574,0000,03,3,1000,199402,1,15,200000000,1,01,201912,6,5,01,0,12,1660232,513229,513229,Z99Z,
020462965,MORNING STAR LODGE 37 MEMORIAL FUND INC,% MICHAEL H ROBERTS TREASURER,PO BOX 301,CASTLETON,VT,05735-0301,0000,03,3,1000,201205,1,15,561040602,1,01,202012,0,0,02,0,12,0,0,0,B90,
020464951,ROTARY INTERNATIONAL,% ALAN KANEGSBERG TREASUER,9171 COLD RIVER RD,SHREWSBURY,VT,05738-9573,0573,04,9,3000,195805,2,00,520349200,5,01,202006,3,4,01,0,06,92975,132478,118072,,7870 ROTARY DISTRICT
020473526,CONNECTICUT RIVER ANTIQUE,% RUTH DRISCOLL,2584 ROUTE 5 SOUTH,ELY,VT,05045-0000,0000,03,3,1000,200106,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,A90,
