EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010549451,LITTLE LEAGUE BASEBALL INC,% JEFF VARNEY,PO BOX 596,MIDWAY,WV,25878-0596,3158,03,9,1000,196701,1,15,321059000,1,01,201909,2,3,01,0,09,10748,88852,60376,N63,3480414 SOPHIA LL
010582384,ST STEPHEN BAPTIST CHURCH,% RUSSELL E MEDLEY,PO BOX 4095,MORGANTOWN,WV,26504-4095,0000,03,3,7000,200502,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,X20,
010607464,WESTMORELAND APARTMENTS INC,,3609 HUGHES STREET,HUNTINGTON,WV,25704-1952,0000,03,3,1000,200207,1,15,000000000,1,01,201909,6,4,01,0,09,2188734,120449,120449,L22,
010614518,DESTINY BAPTIST CHURCH,,115 N RALEIGH ST,MARTINSBURG,WV,25401-2767,0000,03,3,7000,200707,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010621770,HANDS OF HOPE MINISTRIES INC,% JOSEPH T WEBB III,2 OAKHURST DR,WELCH,WV,24801-2116,0000,03,3,1000,200210,1,15,000000000,1,01,201812,3,4,01,0,12,72379,137900,137900,P28,
010632649,WAYNE FAMILY RESOURCE NETWORK INC,% DONNA THOMPSON,PO BOX 250,WAYNE,WV,25570-0250,0000,03,3,1000,200208,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,P20,
010656622,HUNTINGTON JEWISH BENEVOLENT ASSOCIATION INC,,325 8TH ST,HUNTINGTON,WV,25701-1412,0000,03,3,1000,200207,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,T30,
010659623,MORRIS CREEK WATERSHED ASSOCIATION INC,% WANDA KING,PO BOX 927,MONTGOMERY,WV,25136-0927,0000,03,3,1000,200302,1,15,000000000,1,01,201912,3,3,02,0,12,32015,43776,43776,C30,
010666085,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JAMES CLUTTER,2017 WILDCAT RD,IRELAND,WV,26376-9313,0239,04,9,3000,000000,2,00,911520000,5,01,202006,0,0,02,0,06,0,0,0,,65134 IRELAND
010687795,PROPERTY MANAGEMENT SERVICE INC,% MARY TURNEREXECUTIVE DIRECT,355 BLUEFIELD AVENUE,BLUEFIELD,WV,24701-2883,0000,03,3,1000,200208,1,17,000000000,1,01,201908,4,4,01,0,08,113344,317072,317072,L192,
010748722,MOOREFIELD ATHLETIC BOOSTERS INC,% LARA FLINN,PO BOX 1156,MOOREFIELD,WV,26836-6156,0000,03,3,1000,200302,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,N11,
010751044,BODY OF CHRIST MINISTRIES INC,% G DEMETRIUS APOSTOLON,506 JEFFERSON AVE,HUNTINGTON,WV,25704-2620,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010762570,RIVER CITIES LIGHTHOUSE,% DONALD F MCCLOUD JR,1033 8TH AVE,HUNTINGTON,WV,25701-2806,0000,03,3,7000,200403,1,10,000000000,2,01,201912,0,0,06,0,12,0,0,0,X21,
010775648,LOVE & LIFE FELLOWSHIP,% CARMEL E SANSON JR,344 GLEN OAKS RD,SUMMERSVILLE,WV,26651-4168,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010790942,CENTRAL APPALACHIAN ASTRONOMY CLUB,% JOE GONZALEZ,PO BOX 1892,CLARKSBURG,WV,26302-0000,0000,03,3,2000,201212,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,U31,
010819608,GRACE BIBLE CHURCH,% JOE PETERS,PO BOX 641,DELLSLOW,WV,26531-0641,0000,03,3,1700,200601,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010828417,BREAKING BARRIERS A LEARNING CENTER,% LESLIE DIANE PERRY,556 SCRABBLE RD,MARTINSBURG,WV,25404-0386,0000,03,3,2000,200512,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,B60,
010846202,STATE OF WEST VIRGINIA WEST VIRGINIA UNIVERSITY,% GINA TAYLOR WVU EXTENSION AGENT,157 COUNTY FARM RD,COTTAGEVILLE,WV,25239-7031,5989,03,9,2000,201404,1,15,000000000,5,01,202006,0,0,02,0,06,0,0,0,O52,JOES RUN CRUSADERS
010857998,COMMUNITIES IN SCHOOLS OF GREENBRIER COUNTY,% KIMBERLY GROOVER EXEC DIRECTOR,PO BOX 1188,LEWISBURG,WV,24901-4188,0000,03,3,1200,200605,1,15,000000000,1,01,201906,4,4,01,0,06,205258,336662,336662,O50,
