EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010631747,AMERICAN LEGION,% DOUG HENSALA,1320 HUGUR AVE,CHEYENNE,WY,82001-4917,0925,19,9,1000,194603,0,00,907908000,5,01,202006,0,0,02,0,06,0,0,0,,0017 E A BLACKMORE MEMORIAL
010639604,BURNS ELEMENTARY PARENT ORGANIZATION,% LISA PEREZ,PO BOX 304,BURNS,WY,82053-0304,0000,03,3,1000,200207,1,15,000000000,5,01,202012,0,0,02,0,12,0,0,0,B94,
010699262,WILLOW CREEK REFUGE & PRESERVE,% DAVID HIGMAN,76 STONEY POINT RANCH,DUBOIS,WY,82513-0000,0000,03,3,1000,200404,1,03,000000000,1,01,201806,6,4,00,1,06,2035483,234482,,D30,
010825922,SHOSHONE BACK COUNTRY HORSEMEN,,PO BOX 465,POWELL,WY,82435-0465,0000,04,3,3000,201606,1,00,125000000,1,01,202001,0,0,02,0,01,0,0,0,C34,
010894491,DEVILS TOWER SACRED TO MANY PEOPLE INC,% JULIANA BYRD,380 HWY 12,DEVILS TOWER,WY,82714-0000,0000,03,3,1200,200807,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,S99,
010956456,BIG HORN BASIN NATURE & DISCOVERY CENTER JOINT POWERS BOARD,% ANN HARDESTY-COUNTY CLERKS OFF,527 WARREN ST,THERMOPOLIS,WY,82443-2617,0000,03,3,1000,202006,1,15,000000000,5,01,,0,0,14,0,06,,,,C02,
010960733,UNIVERSITY OF WYOMING,% JODDEE JACOBSEN,2011 FAIRGROUNDS RD,CASPER,WY,82604-2901,5931,03,9,5000,201305,1,15,000000000,5,01,201906,0,0,02,0,06,0,0,0,O52,CITY DUDES
020584976,LANDER ECONOMIC DEVELOPMENT ASSOCIATION,% RICHARD F FAGNANT,PO BOX 1306,LANDER,WY,82520-1306,0000,06,3,1000,201407,2,00,000000000,1,01,201912,3,3,01,0,12,42213,68586,30118,P99,
020601640,JACKSON BRONC BACKERS INC,,PO BOX 6350,JACKSON,WY,83002-6350,0000,03,3,1000,200402,1,16,000000000,1,01,202007,4,3,01,0,07,151100,90435,73228,B11,
020613686,YOUTH EMERGENCY SERVICE FOUNDATION,% DAVID JONES,PO BOX 2151,GILLETTE,WY,82717-2151,0000,03,3,1000,200312,1,15,000000000,1,01,201912,5,4,01,0,12,658880,413520,342714,T11,
020645843,CYCLE WYOMING,% AMBER TRAVSKY,1116 ALBIN ST,LARAMIE,WY,82072-1819,0000,03,3,1000,200308,1,16,000000000,1,01,201912,4,4,01,0,12,194897,132080,33242,M42,
